,X,Month,CrimeType ,CrimeDetails,CrimeCount,Borough
11985,11985,201204,Fraud & Forgery,Other Fraud & Forgery,55,Camden
11986,11986,201204,Theft & Handling,Other Theft,733,Camden
11987,11987,201204,Robbery,Business Property,6,Camden
11988,11988,201204,Violence Against The Person,Other Violence,6,Camden
11989,11989,201204,Criminal Damage,Criminal Damage To Other Building,23,Camden
11990,11990,201204,Violence Against The Person,Harassment,139,Camden
11991,11991,201204,Violence Against The Person,Wounding/GBH,17,Camden
11992,11992,201204,Burglary,Burglary In A Dwelling,110,Camden
11993,11993,201204,Fraud & Forgery,Counted Per Victim,74,Camden
11994,11994,201204,Violence Against The Person,Offensive Weapon,7,Camden
11995,11995,201204,Other Notifiable Offences,Going Equipped,2,Camden
11996,11996,201204,Burglary,Burglary In Other Buildings,132,Camden
11997,11997,201204,Theft & Handling,Motor Vehicle Interference & Tampering,4,Camden
11998,11998,201204,Violence Against The Person,Assault With Injury,156,Camden
11999,11999,201204,Drugs,Drug Trafficking,9,Camden
12000,12000,201204,Theft & Handling,Other Theft,273,Hammersmith and Fulham
12001,12001,201204,Theft & Handling,Theft From Shops,143,Hammersmith and Fulham
12002,12002,201204,Fraud & Forgery,Counted Per Victim,48,Hammersmith and Fulham
12003,12003,201204,Theft & Handling,Motor Vehicle Interference & Tampering,11,Hammersmith and Fulham
12004,12004,201204,Drugs,Drug Trafficking,16,Hammersmith and Fulham
12005,12005,201204,Sexual Offences,Rape,3,Hammersmith and Fulham
12006,12006,201204,Drugs,Other Drugs,2,Hammersmith and Fulham
12007,12007,201204,Other Notifiable Offences,Going Equipped,4,Hammersmith and Fulham
12008,12008,201204,Violence Against The Person,Common Assault,90,Hammersmith and Fulham
12009,12009,201204,Violence Against The Person,Harassment,128,Hammersmith and Fulham
12010,12010,201204,Theft & Handling,Theft From Motor Vehicle,214,Hammersmith and Fulham
12011,12011,201204,Drugs,Possession Of Drugs,93,Hammersmith and Fulham
12012,12012,201204,Violence Against The Person,Assault With Injury,105,Hammersmith and Fulham
12013,12013,201204,Burglary,Burglary In Other Buildings,55,Hammersmith and Fulham
12014,12014,201204,Theft & Handling,Theft/Taking Of Motor Vehicle,54,Hammersmith and Fulham
12015,12015,201204,Criminal Damage,Criminal Damage To Motor Vehicle,60,Hammersmith and Fulham
12016,12016,201204,Criminal Damage,Criminal Damage To Dwelling,28,Hammersmith and Fulham
12017,12017,201204,Violence Against The Person,Offensive Weapon,13,Hammersmith and Fulham
12018,12018,201204,Theft & Handling,Handling Stolen Goods,10,Hammersmith and Fulham
12019,12019,201204,Theft & Handling,Theft/Taking Of Pedal Cycle,105,Hammersmith and Fulham
12020,12020,201204,Other Notifiable Offences,Other Notifiable,31,Hammersmith and Fulham
12021,12021,201204,Fraud & Forgery,Other Fraud & Forgery,48,Hammersmith and Fulham
12022,12022,201204,Theft & Handling,Theft Person,107,Hammersmith and Fulham
12023,12023,201204,Violence Against The Person,Other Violence,6,Hammersmith and Fulham
12024,12024,201204,Sexual Offences,Other Sexual,14,Hammersmith and Fulham
12025,12025,201204,Robbery,Business Property,2,Hammersmith and Fulham
12026,12026,201204,Criminal Damage,Criminal Damage To Other Building,17,Hammersmith and Fulham
12027,12027,201204,Burglary,Burglary In A Dwelling,119,Hammersmith and Fulham
12028,12028,201204,Robbery,Personal Property,57,Hammersmith and Fulham
12029,12029,201204,Violence Against The Person,Wounding/GBH,11,Hammersmith and Fulham
12030,12030,201204,Criminal Damage,Other Criminal Damage,28,Hammersmith and Fulham
12031,12031,201204,Fraud & Forgery,Counted Per Victim,41,Hackney
12032,12032,201204,Fraud & Forgery,Other Fraud & Forgery,25,Hackney
12033,12033,201204,Violence Against The Person,Harassment,130,Hackney
12034,12034,201204,Theft & Handling,Theft Person,257,Hackney
12035,12035,201204,Other Notifiable Offences,Other Notifiable,27,Hackney
12036,12036,201204,Burglary,Burglary In Other Buildings,84,Hackney
12037,12037,201204,Criminal Damage,Other Criminal Damage,40,Hackney
12038,12038,201204,Theft & Handling,Motor Vehicle Interference & Tampering,18,Hackney
12039,12039,201204,Burglary,Burglary In A Dwelling,128,Hackney
12040,12040,201204,Violence Against The Person,Other Violence,30,Hackney
12041,12041,201204,Criminal Damage,Criminal Damage To Dwelling,59,Hackney
12042,12042,201204,Violence Against The Person,Assault With Injury,138,Hackney
12043,12043,201204,Theft & Handling,Theft From Shops,57,Hackney
12044,12044,201204,Criminal Damage,Criminal Damage To Motor Vehicle,52,Hackney
12045,12045,201204,Drugs,Drug Trafficking,11,Hackney
12046,12046,201204,Theft & Handling,Handling Stolen Goods,3,Hackney
12047,12047,201204,Theft & Handling,Theft/Taking Of Motor Vehicle,69,Hackney
12048,12048,201204,Sexual Offences,Rape,11,Hackney
12049,12049,201204,Criminal Damage,Criminal Damage To Other Building,13,Hackney
12050,12050,201204,Violence Against The Person,Wounding/GBH,28,Hackney
12051,12051,201204,Theft & Handling,Other Theft,381,Hackney
12052,12052,201204,Violence Against The Person,Common Assault,132,Hackney
12053,12053,201204,Violence Against The Person,Offensive Weapon,6,Hackney
12054,12054,201204,Theft & Handling,Theft From Motor Vehicle,222,Hackney
12055,12055,201204,Theft & Handling,Theft/Taking Of Pedal Cycle,109,Hackney
12056,12056,201204,Drugs,Possession Of Drugs,117,Hackney
12057,12057,201204,Sexual Offences,Other Sexual,14,Hackney
12058,12058,201204,Robbery,Business Property,6,Hackney
12059,12059,201204,Robbery,Personal Property,143,Hackney
12060,12060,201204,Sexual Offences,Other Sexual,20,Tower Hamlets
12061,12061,201204,Theft & Handling,Other Theft,344,Tower Hamlets
12062,12062,201204,Theft & Handling,Theft/Taking Of Motor Vehicle,75,Tower Hamlets
12063,12063,201204,Robbery,Business Property,3,Tower Hamlets
12064,12064,201204,Robbery,Personal Property,102,Tower Hamlets
12065,12065,201204,Theft & Handling,Theft/Taking Of Pedal Cycle,119,Tower Hamlets
12066,12066,201204,Violence Against The Person,Wounding/GBH,27,Tower Hamlets
12067,12067,201204,Theft & Handling,Motor Vehicle Interference & Tampering,13,Tower Hamlets
12068,12068,201204,Sexual Offences,Rape,12,Tower Hamlets
12069,12069,201204,Criminal Damage,Criminal Damage To Other Building,27,Tower Hamlets
12070,12070,201204,Fraud & Forgery,Counted Per Victim,65,Tower Hamlets
12071,12071,201204,Violence Against The Person,Offensive Weapon,9,Tower Hamlets
12072,12072,201204,Theft & Handling,Theft From Motor Vehicle,144,Tower Hamlets
12073,12073,201204,Drugs,Possession Of Drugs,186,Tower Hamlets
12074,12074,201204,Burglary,Burglary In Other Buildings,130,Tower Hamlets
12075,12075,201204,Violence Against The Person,Common Assault,115,Tower Hamlets
12076,12076,201204,Other Notifiable Offences,Other Notifiable,22,Tower Hamlets
12077,12077,201204,Criminal Damage,Criminal Damage To Dwelling,34,Tower Hamlets
12078,12078,201204,Criminal Damage,Criminal Damage To Motor Vehicle,90,Tower Hamlets
12079,12079,201204,Theft & Handling,Theft From Shops,52,Tower Hamlets
12080,12080,201204,Theft & Handling,Handling Stolen Goods,6,Tower Hamlets
12081,12081,201204,Drugs,Drug Trafficking,21,Tower Hamlets
12082,12082,201204,Violence Against The Person,Assault With Injury,155,Tower Hamlets
12083,12083,201204,Fraud & Forgery,Other Fraud & Forgery,45,Tower Hamlets
12084,12084,201204,Theft & Handling,Theft Person,125,Tower Hamlets
12085,12085,201204,Violence Against The Person,Harassment,147,Tower Hamlets
12086,12086,201204,Criminal Damage,Other Criminal Damage,51,Tower Hamlets
12087,12087,201204,Violence Against The Person,Other Violence,14,Tower Hamlets
12088,12088,201204,Burglary,Burglary In A Dwelling,82,Tower Hamlets
12089,12089,201204,Fraud & Forgery,Other Fraud & Forgery,43,Waltham Forest
12090,12090,201204,Theft & Handling,Theft Person,69,Waltham Forest
12091,12091,201204,Criminal Damage,Other Criminal Damage,42,Waltham Forest
12092,12092,201204,Violence Against The Person,Harassment,127,Waltham Forest
12093,12093,201204,Drugs,Drug Trafficking,11,Waltham Forest
12094,12094,201204,Violence Against The Person,Other Violence,29,Waltham Forest
12095,12095,201204,Burglary,Burglary In A Dwelling,171,Waltham Forest
12096,12096,201204,Drugs,Other Drugs,1,Waltham Forest
12097,12097,201204,Other Notifiable Offences,Going Equipped,2,Waltham Forest
12098,12098,201204,Sexual Offences,Rape,3,Waltham Forest
12099,12099,201204,Theft & Handling,Motor Vehicle Interference & Tampering,17,Waltham Forest
12100,12100,201204,Violence Against The Person,Assault With Injury,146,Waltham Forest
12101,12101,201204,Burglary,Burglary In Other Buildings,65,Waltham Forest
12102,12102,201204,Violence Against The Person,Common Assault,106,Waltham Forest
12103,12103,201204,Violence Against The Person,Offensive Weapon,9,Waltham Forest
12104,12104,201204,Theft & Handling,Theft From Motor Vehicle,242,Waltham Forest
12105,12105,201204,Fraud & Forgery,Counted Per Victim,164,Waltham Forest
12106,12106,201204,Theft & Handling,Theft/Taking Of Motor Vehicle,88,Waltham Forest
12107,12107,201204,Theft & Handling,Handling Stolen Goods,3,Waltham Forest
12108,12108,201204,Criminal Damage,Criminal Damage To Motor Vehicle,61,Waltham Forest
12109,12109,201204,Theft & Handling,Theft From Shops,56,Waltham Forest
12110,12110,201204,Other Notifiable Offences,Other Notifiable,32,Waltham Forest
12111,12111,201204,Criminal Damage,Criminal Damage To Dwelling,51,Waltham Forest
12112,12112,201204,Drugs,Possession Of Drugs,69,Waltham Forest
12113,12113,201204,Sexual Offences,Other Sexual,15,Waltham Forest
12114,12114,201204,Theft & Handling,Other Theft,261,Waltham Forest
12115,12115,201204,Robbery,Personal Property,116,Waltham Forest
12116,12116,201204,Robbery,Business Property,8,Waltham Forest
12117,12117,201204,Theft & Handling,Theft/Taking Of Pedal Cycle,27,Waltham Forest
12118,12118,201204,Criminal Damage,Criminal Damage To Other Building,19,Waltham Forest
12119,12119,201204,Violence Against The Person,Wounding/GBH,16,Waltham Forest
12120,12120,201204,Theft & Handling,Theft From Shops,81,Redbridge
12121,12121,201204,Burglary,Burglary In Other Buildings,64,Redbridge
12122,12122,201204,Fraud & Forgery,Counted Per Victim,79,Redbridge
12123,12123,201204,Theft & Handling,Theft/Taking Of Pedal Cycle,19,Redbridge
12124,12124,201204,Burglary,Burglary In A Dwelling,199,Redbridge
12125,12125,201204,Theft & Handling,Other Theft,187,Redbridge
12126,12126,201204,Robbery,Business Property,9,Redbridge
12127,12127,201204,Drugs,Drug Trafficking,4,Redbridge
12128,12128,201204,Violence Against The Person,Wounding/GBH,17,Redbridge
12129,12129,201204,Criminal Damage,Other Criminal Damage,19,Redbridge
12130,12130,201204,Theft & Handling,Theft Person,51,Redbridge
12131,12131,201204,Sexual Offences,Other Sexual,13,Redbridge
12132,12132,201204,Other Notifiable Offences,Going Equipped,1,Redbridge
12133,12133,201204,Violence Against The Person,Assault With Injury,104,Redbridge
12134,12134,201204,Violence Against The Person,Offensive Weapon,6,Redbridge
12135,12135,201204,Fraud & Forgery,Other Fraud & Forgery,21,Redbridge
12136,12136,201204,Criminal Damage,Criminal Damage To Motor Vehicle,55,Redbridge
12137,12137,201204,Violence Against The Person,Common Assault,70,Redbridge
12138,12138,201204,Criminal Damage,Criminal Damage To Other Building,15,Redbridge
12139,12139,201204,Other Notifiable Offences,Other Notifiable,11,Redbridge
12140,12140,201204,Theft & Handling,Motor Vehicle Interference & Tampering,16,Redbridge
12141,12141,201204,Violence Against The Person,Harassment,120,Redbridge
12142,12142,201204,Criminal Damage,Criminal Damage To Dwelling,38,Redbridge
12143,12143,201204,Theft & Handling,Theft/Taking Of Motor Vehicle,81,Redbridge
12144,12144,201204,Theft & Handling,Handling Stolen Goods,2,Redbridge
12145,12145,201204,Robbery,Personal Property,93,Redbridge
12146,12146,201204,Sexual Offences,Rape,8,Redbridge
12147,12147,201204,Drugs,Possession Of Drugs,142,Redbridge
12148,12148,201204,Theft & Handling,Theft From Motor Vehicle,224,Redbridge
12149,12149,201204,Violence Against The Person,Other Violence,9,Redbridge
12150,12150,201204,Other Notifiable Offences,Other Notifiable,7,Havering
12151,12151,201204,Fraud & Forgery,Counted Per Victim,56,Havering
12152,12152,201204,Theft & Handling,Theft Person,25,Havering
12153,12153,201204,Sexual Offences,Rape,4,Havering
12154,12154,201204,Theft & Handling,Theft/Taking Of Pedal Cycle,23,Havering
12155,12155,201204,Theft & Handling,Theft From Shops,65,Havering
12156,12156,201204,Drugs,Possession Of Drugs,71,Havering
12157,12157,201204,Robbery,Personal Property,33,Havering
12158,12158,201204,Robbery,Business Property,7,Havering
12159,12159,201204,Violence Against The Person,Common Assault,68,Havering
12160,12160,201204,Drugs,Drug Trafficking,12,Havering
12161,12161,201204,Sexual Offences,Other Sexual,10,Havering
12162,12162,201204,Burglary,Burglary In A Dwelling,162,Havering
12163,12163,201204,Violence Against The Person,Harassment,76,Havering
12164,12164,201204,Violence Against The Person,Offensive Weapon,2,Havering
12165,12165,201204,Fraud & Forgery,Other Fraud & Forgery,22,Havering
12166,12166,201204,Theft & Handling,Theft From Motor Vehicle,134,Havering
12167,12167,201204,Criminal Damage,Other Criminal Damage,37,Havering
12168,12168,201204,Criminal Damage,Criminal Damage To Dwelling,33,Havering
12169,12169,201204,Violence Against The Person,Assault With Injury,85,Havering
12170,12170,201204,Theft & Handling,Motor Vehicle Interference & Tampering,7,Havering
12171,12171,201204,Burglary,Burglary In Other Buildings,72,Havering
12172,12172,201204,Criminal Damage,Criminal Damage To Motor Vehicle,51,Havering
12173,12173,201204,Theft & Handling,Theft/Taking Of Motor Vehicle,75,Havering
12174,12174,201204,Theft & Handling,Handling Stolen Goods,10,Havering
12175,12175,201204,Violence Against The Person,Other Violence,3,Havering
12176,12176,201204,Violence Against The Person,Wounding/GBH,11,Havering
12177,12177,201204,Other Notifiable Offences,Going Equipped,1,Havering
12178,12178,201204,Criminal Damage,Criminal Damage To Other Building,14,Havering
12179,12179,201204,Theft & Handling,Other Theft,158,Havering
12180,12180,201204,Robbery,Business Property,14,Newham
12181,12181,201204,Sexual Offences,Other Sexual,15,Newham
12182,12182,201204,Theft & Handling,Other Theft,298,Newham
12183,12183,201204,Criminal Damage,Criminal Damage To Other Building,16,Newham
12184,12184,201204,Fraud & Forgery,Other Fraud & Forgery,92,Newham
12185,12185,201204,Theft & Handling,Theft/Taking Of Motor Vehicle,100,Newham
12186,12186,201204,Theft & Handling,Motor Vehicle Interference & Tampering,7,Newham
12187,12187,201204,Theft & Handling,Theft/Taking Of Pedal Cycle,60,Newham
12188,12188,201204,Burglary,Burglary In Other Buildings,87,Newham
12189,12189,201204,Theft & Handling,Theft Person,159,Newham
12190,12190,201204,Other Notifiable Offences,Going Equipped,2,Newham
12191,12191,201204,Criminal Damage,Criminal Damage To Dwelling,77,Newham
12192,12192,201204,Other Notifiable Offences,Other Notifiable,32,Newham
12193,12193,201204,Criminal Damage,Other Criminal Damage,44,Newham
12194,12194,201204,Criminal Damage,Criminal Damage To Motor Vehicle,82,Newham
12195,12195,201204,Drugs,Drug Trafficking,8,Newham
12196,12196,201204,Violence Against The Person,Other Violence,37,Newham
12197,12197,201204,Violence Against The Person,Wounding/GBH,32,Newham
12198,12198,201204,Violence Against The Person,Offensive Weapon,11,Newham
12199,12199,201204,Violence Against The Person,Harassment,125,Newham
12200,12200,201204,Burglary,Burglary In A Dwelling,127,Newham
12201,12201,201204,Violence Against The Person,Common Assault,176,Newham
12202,12202,201204,Drugs,Possession Of Drugs,159,Newham
12203,12203,201204,Fraud & Forgery,Counted Per Victim,124,Newham
12204,12204,201204,Violence Against The Person,Assault With Injury,177,Newham
12205,12205,201204,Theft & Handling,Handling Stolen Goods,8,Newham
12206,12206,201204,Sexual Offences,Rape,15,Newham
12207,12207,201204,Theft & Handling,Theft From Shops,142,Newham
12208,12208,201204,Theft & Handling,Theft From Motor Vehicle,211,Newham
12209,12209,201204,Robbery,Personal Property,153,Newham
12210,12210,201204,Theft & Handling,Theft From Motor Vehicle,103,Barking and Dagenham
12211,12211,201204,Burglary,Burglary In Other Buildings,62,Barking and Dagenham
12212,12212,201204,Drugs,Drug Trafficking,10,Barking and Dagenham
12213,12213,201204,Sexual Offences,Rape,4,Barking and Dagenham
12214,12214,201204,Violence Against The Person,Harassment,89,Barking and Dagenham
12215,12215,201204,Fraud & Forgery,Counted Per Victim,76,Barking and Dagenham
12216,12216,201204,Violence Against The Person,Wounding/GBH,9,Barking and Dagenham
12217,12217,201204,Robbery,Personal Property,64,Barking and Dagenham
12218,12218,201204,Criminal Damage,Criminal Damage To Other Building,8,Barking and Dagenham
12219,12219,201204,Other Notifiable Offences,Other Notifiable,16,Barking and Dagenham
12220,12220,201204,Theft & Handling,Theft Person,29,Barking and Dagenham
12221,12221,201204,Drugs,Possession Of Drugs,73,Barking and Dagenham
12222,12222,201204,Theft & Handling,Other Theft,169,Barking and Dagenham
12223,12223,201204,Burglary,Burglary In A Dwelling,152,Barking and Dagenham
12224,12224,201204,Criminal Damage,Criminal Damage To Dwelling,43,Barking and Dagenham
12225,12225,201204,Theft & Handling,Theft From Shops,46,Barking and Dagenham
12226,12226,201204,Theft & Handling,Handling Stolen Goods,1,Barking and Dagenham
12227,12227,201204,Violence Against The Person,Other Violence,6,Barking and Dagenham
12228,12228,201204,Criminal Damage,Other Criminal Damage,38,Barking and Dagenham
12229,12229,201204,Robbery,Business Property,4,Barking and Dagenham
12230,12230,201204,Theft & Handling,Motor Vehicle Interference & Tampering,9,Barking and Dagenham
12231,12231,201204,Theft & Handling,Theft/Taking Of Pedal Cycle,19,Barking and Dagenham
12232,12232,201204,Violence Against The Person,Assault With Injury,114,Barking and Dagenham
12233,12233,201204,Violence Against The Person,Common Assault,68,Barking and Dagenham
12234,12234,201204,Violence Against The Person,Offensive Weapon,3,Barking and Dagenham
12235,12235,201204,Fraud & Forgery,Other Fraud & Forgery,22,Barking and Dagenham
12236,12236,201204,Criminal Damage,Criminal Damage To Motor Vehicle,50,Barking and Dagenham
12237,12237,201204,Theft & Handling,Theft/Taking Of Motor Vehicle,69,Barking and Dagenham
12238,12238,201204,Sexual Offences,Other Sexual,7,Barking and Dagenham
12239,12239,201204,Theft & Handling,Motor Vehicle Interference & Tampering,16,Lambeth
12240,12240,201204,Criminal Damage,Criminal Damage To Motor Vehicle,78,Lambeth
12241,12241,201204,Theft & Handling,Theft Person,317,Lambeth
12242,12242,201204,Sexual Offences,Other Sexual,26,Lambeth
12243,12243,201204,Violence Against The Person,Offensive Weapon,11,Lambeth
12244,12244,201204,Other Notifiable Offences,Going Equipped,2,Lambeth
12245,12245,201204,Theft & Handling,Handling Stolen Goods,12,Lambeth
12246,12246,201204,Violence Against The Person,Assault With Injury,207,Lambeth
12247,12247,201204,Criminal Damage,Criminal Damage To Dwelling,44,Lambeth
12248,12248,201204,Violence Against The Person,Common Assault,119,Lambeth
12249,12249,201204,Drugs,Possession Of Drugs,159,Lambeth
12250,12250,201204,Criminal Damage,Criminal Damage To Other Building,18,Lambeth
12251,12251,201204,Robbery,Personal Property,196,Lambeth
12252,12252,201204,Violence Against The Person,Other Violence,33,Lambeth
12253,12253,201204,Theft & Handling,Theft/Taking Of Pedal Cycle,110,Lambeth
12254,12254,201204,Robbery,Business Property,9,Lambeth
12255,12255,201204,Theft & Handling,Theft/Taking Of Motor Vehicle,89,Lambeth
12256,12256,201204,Fraud & Forgery,Other Fraud & Forgery,39,Lambeth
12257,12257,201204,Violence Against The Person,Wounding/GBH,27,Lambeth
12258,12258,201204,Criminal Damage,Other Criminal Damage,46,Lambeth
12259,12259,201204,Other Notifiable Offences,Other Notifiable,20,Lambeth
12260,12260,201204,Fraud & Forgery,Counted Per Victim,79,Lambeth
12261,12261,201204,Theft & Handling,Theft From Motor Vehicle,220,Lambeth
12262,12262,201204,Sexual Offences,Rape,10,Lambeth
12263,12263,201204,Theft & Handling,Other Theft,500,Lambeth
12264,12264,201204,Burglary,Burglary In A Dwelling,200,Lambeth
12265,12265,201204,Theft & Handling,Theft From Shops,75,Lambeth
12266,12266,201204,Drugs,Other Drugs,1,Lambeth
12267,12267,201204,Violence Against The Person,Harassment,118,Lambeth
12268,12268,201204,Burglary,Burglary In Other Buildings,112,Lambeth
12269,12269,201204,Drugs,Drug Trafficking,17,Lambeth
12270,12270,201204,Theft & Handling,Theft/Taking Of Pedal Cycle,88,Southwark
12271,12271,201204,Fraud & Forgery,Other Fraud & Forgery,48,Southwark
12272,12272,201204,Theft & Handling,Theft From Shops,111,Southwark
12273,12273,201204,Sexual Offences,Rape,13,Southwark
12274,12274,201204,Theft & Handling,Theft From Motor Vehicle,126,Southwark
12275,12275,201204,Criminal Damage,Other Criminal Damage,34,Southwark
12276,12276,201204,Theft & Handling,Theft/Taking Of Motor Vehicle,73,Southwark
12277,12277,201204,Other Notifiable Offences,Other Notifiable,40,Southwark
12278,12278,201204,Fraud & Forgery,Counted Per Victim,83,Southwark
12279,12279,201204,Burglary,Burglary In A Dwelling,168,Southwark
12280,12280,201204,Robbery,Personal Property,152,Southwark
12281,12281,201204,Sexual Offences,Other Sexual,27,Southwark
12282,12282,201204,Violence Against The Person,Offensive Weapon,23,Southwark
12283,12283,201204,Violence Against The Person,Murder,1,Southwark
12284,12284,201204,Violence Against The Person,Harassment,144,Southwark
12285,12285,201204,Drugs,Possession Of Drugs,154,Southwark
12286,12286,201204,Drugs,Drug Trafficking,16,Southwark
12287,12287,201204,Violence Against The Person,Common Assault,122,Southwark
12288,12288,201204,Criminal Damage,Criminal Damage To Dwelling,53,Southwark
12289,12289,201204,Violence Against The Person,Assault With Injury,181,Southwark
12290,12290,201204,Theft & Handling,Handling Stolen Goods,8,Southwark
12291,12291,201204,Criminal Damage,Criminal Damage To Motor Vehicle,56,Southwark
12292,12292,201204,Burglary,Burglary In Other Buildings,103,Southwark
12293,12293,201204,Theft & Handling,Theft Person,133,Southwark
12294,12294,201204,Theft & Handling,Motor Vehicle Interference & Tampering,9,Southwark
12295,12295,201204,Theft & Handling,Other Theft,353,Southwark
12296,12296,201204,Criminal Damage,Criminal Damage To Other Building,23,Southwark
12297,12297,201204,Violence Against The Person,Other Violence,26,Southwark
12298,12298,201204,Robbery,Business Property,17,Southwark
12299,12299,201204,Violence Against The Person,Wounding/GBH,27,Southwark
12300,12300,201204,Violence Against The Person,Other Violence,21,Islington
12301,12301,201204,Fraud & Forgery,Counted Per Victim,63,Islington
12302,12302,201204,Fraud & Forgery,Other Fraud & Forgery,20,Islington
12303,12303,201204,Theft & Handling,Theft/Taking Of Motor Vehicle,42,Islington
12304,12304,201204,Criminal Damage,Other Criminal Damage,45,Islington
12305,12305,201204,Theft & Handling,Theft Person,280,Islington
12306,12306,201204,Violence Against The Person,Assault With Injury,122,Islington
12307,12307,201204,Theft & Handling,Handling Stolen Goods,5,Islington
12308,12308,201204,Criminal Damage,Criminal Damage To Dwelling,58,Islington
12309,12309,201204,Violence Against The Person,Offensive Weapon,7,Islington
12310,12310,201204,Violence Against The Person,Wounding/GBH,20,Islington
12311,12311,201204,Other Notifiable Offences,Going Equipped,3,Islington
12312,12312,201204,Theft & Handling,Motor Vehicle Interference & Tampering,9,Islington
12313,12313,201204,Drugs,Possession Of Drugs,112,Islington
12314,12314,201204,Criminal Damage,Criminal Damage To Other Building,11,Islington
12315,12315,201204,Sexual Offences,Other Sexual,7,Islington
12316,12316,201204,Robbery,Personal Property,114,Islington
12317,12317,201204,Theft & Handling,Theft From Shops,98,Islington
12318,12318,201204,Violence Against The Person,Murder,1,Islington
12319,12319,201204,Burglary,Burglary In A Dwelling,125,Islington
12320,12320,201204,Drugs,Other Drugs,1,Islington
12321,12321,201204,Violence Against The Person,Common Assault,103,Islington
12322,12322,201204,Sexual Offences,Rape,6,Islington
12323,12323,201204,Criminal Damage,Criminal Damage To Motor Vehicle,46,Islington
12324,12324,201204,Theft & Handling,Theft From Motor Vehicle,133,Islington
12325,12325,201204,Robbery,Business Property,7,Islington
12326,12326,201204,Theft & Handling,Theft/Taking Of Pedal Cycle,87,Islington
12327,12327,201204,Other Notifiable Offences,Other Notifiable,20,Islington
12328,12328,201204,Violence Against The Person,Harassment,176,Islington
12329,12329,201204,Theft & Handling,Other Theft,463,Islington
12330,12330,201204,Drugs,Drug Trafficking,71,Islington
12331,12331,201204,Burglary,Burglary In Other Buildings,84,Islington
12332,12332,201204,Fraud & Forgery,Other Fraud & Forgery,29,Lewisham
12333,12333,201204,Criminal Damage,Criminal Damage To Motor Vehicle,75,Lewisham
12334,12334,201204,Theft & Handling,Other Theft,259,Lewisham
12335,12335,201204,Theft & Handling,Motor Vehicle Interference & Tampering,8,Lewisham
12336,12336,201204,Burglary,Burglary In Other Buildings,84,Lewisham
12337,12337,201204,Violence Against The Person,Common Assault,103,Lewisham
12338,12338,201204,Violence Against The Person,Harassment,145,Lewisham
12339,12339,201204,Theft & Handling,Theft/Taking Of Motor Vehicle,64,Lewisham
12340,12340,201204,Criminal Damage,Other Criminal Damage,49,Lewisham
12341,12341,201204,Criminal Damage,Criminal Damage To Other Building,19,Lewisham
12342,12342,201204,Other Notifiable Offences,Going Equipped,1,Lewisham
12343,12343,201204,Drugs,Drug Trafficking,7,Lewisham
12344,12344,201204,Violence Against The Person,Other Violence,34,Lewisham
12345,12345,201204,Criminal Damage,Criminal Damage To Dwelling,55,Lewisham
12346,12346,201204,Theft & Handling,Handling Stolen Goods,2,Lewisham
12347,12347,201204,Other Notifiable Offences,Other Notifiable,32,Lewisham
12348,12348,201204,Theft & Handling,Theft Person,49,Lewisham
12349,12349,201204,Theft & Handling,Theft From Shops,69,Lewisham
12350,12350,201204,Violence Against The Person,Assault With Injury,138,Lewisham
12351,12351,201204,Sexual Offences,Other Sexual,14,Lewisham
12352,12352,201204,Violence Against The Person,Wounding/GBH,19,Lewisham
12353,12353,201204,Robbery,Business Property,10,Lewisham
12354,12354,201204,Robbery,Personal Property,93,Lewisham
12355,12355,201204,Drugs,Possession Of Drugs,128,Lewisham
12356,12356,201204,Burglary,Burglary In A Dwelling,151,Lewisham
12357,12357,201204,Theft & Handling,Theft/Taking Of Pedal Cycle,41,Lewisham
12358,12358,201204,Fraud & Forgery,Counted Per Victim,69,Lewisham
12359,12359,201204,Sexual Offences,Rape,16,Lewisham
12360,12360,201204,Theft & Handling,Theft From Motor Vehicle,172,Lewisham
12361,12361,201204,Violence Against The Person,Offensive Weapon,11,Lewisham
12362,12362,201204,Drugs,Other Drugs,1,Lewisham
12363,12363,201204,Sexual Offences,Rape,4,Bromley
12364,12364,201204,Drugs,Other Drugs,1,Bromley
12365,12365,201204,Criminal Damage,Criminal Damage To Other Building,18,Bromley
12366,12366,201204,Drugs,Possession Of Drugs,76,Bromley
12367,12367,201204,Violence Against The Person,Assault With Injury,92,Bromley
12368,12368,201204,Other Notifiable Offences,Other Notifiable,11,Bromley
12369,12369,201204,Theft & Handling,Theft From Motor Vehicle,141,Bromley
12370,12370,201204,Sexual Offences,Other Sexual,9,Bromley
12371,12371,201204,Violence Against The Person,Common Assault,82,Bromley
12372,12372,201204,Robbery,Business Property,5,Bromley
12373,12373,201204,Burglary,Burglary In A Dwelling,177,Bromley
12374,12374,201204,Criminal Damage,Criminal Damage To Dwelling,35,Bromley
12375,12375,201204,Fraud & Forgery,Other Fraud & Forgery,31,Bromley
12376,12376,201204,Theft & Handling,Handling Stolen Goods,1,Bromley
12377,12377,201204,Violence Against The Person,Offensive Weapon,12,Bromley
12378,12378,201204,Violence Against The Person,Harassment,97,Bromley
12379,12379,201204,Violence Against The Person,Wounding/GBH,11,Bromley
12380,12380,201204,Theft & Handling,Theft From Shops,83,Bromley
12381,12381,201204,Theft & Handling,Theft Person,22,Bromley
12382,12382,201204,Criminal Damage,Other Criminal Damage,51,Bromley
